# link_lengths=0.55,0.4
theta_0,theta_1,gt_x,gt_y
3.967095613000000132e-01,3.145185089110000121e+01,8.704313875281632917e-01,3.802174471196352878e-01
5.267667174000000285e-01,3.145364379880000172e+01,8.133863086648158713e-01,4.904995206467521740e-01
6.482886075999999553e-01,3.146792221069999940e+01,7.442786956584839242e-01,5.898767465623173667e-01
7.417863010999999895e-01,3.146894645689999948e+01,6.856638285266183352e-01,6.570744360177181997e-01
8.425528407000000275e-01,3.145086479189999906e+01,6.216909722172531128e-01,7.181447015742377094e-01
9.573524594000000221e-01,3.145061302190000063e+01,5.354213930038337343e-01,7.845758503441180309e-01
1.056594491000000025e+00,3.144997787479999829e+01,4.552770947638185017e-01,8.336472293605023953e-01
1.152208924299999993e+00,3.145187187189999989e+01,3.729077269924364058e-01,8.735877763423124387e-01
1.216575264899999897e+00,3.147179031370000146e+01,3.083531250793769551e-01,8.981825879067601992e-01
1.219348788300000042e+00,3.147232818599999860e+01,3.056549766143105140e-01,8.990969739852119336e-01
1.140244245499999920e+00,3.147262954709999860e+01,3.756354440969230657e-01,8.721759293382725930e-01
1.021260380700000026e+00,3.147111129760000026e+01,4.770446009898140494e-01,8.211325349375671045e-01
8.666705488999999485e-01,3.147264480589999991e+01,5.973004837229390906e-01,7.382578073948065089e-01
6.980198622000000075e-01,3.146771240229999833e+01,7.140924909282426736e-01,6.260847031584765299e-01
5.400362611000000257e-01,3.145642280579999905e+01,8.061977973495748628e-01,5.021796215692965193e-01
3.733653724000000063e-01,3.147283744810000172e+01,8.756480197184133285e-01,3.674618217420754229e-01
1.948204934999999971e-01,3.146588706969999905e+01,9.276715058233635514e-01,2.034122892294976392e-01
4.493530400000000057e-03,3.147007751459999980e+01,9.493068086804041794e-01,2.591579342685848553e-02
-2.094979733000000011e-01,3.147231674189999850e+01,9.332952480948952800e-01,-1.753869922990929919e-01
-4.294470250999999905e-01,3.147072982790000140e+01,8.723130928339797308e-01,-3.753788556232557916e-01
-6.132085323000000532e-01,3.144859504700000130e+01,7.842597894040064244e-01,-5.359121314625412413e-01
-7.589805722000000365e-01,3.144830131530000017e+01,6.980193065213730064e-01,-6.442348019690128380e-01
-8.681286572999999951e-01,3.144853210449999992e+01,6.237565871039831844e-01,-7.163754976837939381e-01
-9.489936828999999685e-01,3.144925880430000120e+01,5.640822336826282202e-01,-7.642426495871121883e-01
-1.007237672800000094e+00,3.144830894469999905e+01,5.183239921019491270e-01,-7.959959565740600818e-01
-1.010445714000000050e+00,3.144924926759999906e+01,5.160796105838107994e-01,-7.974443987922985588e-01
-9.761691689000000505e-01,3.144859695430000102e+01,5.428935614529820652e-01,-7.794432522293766041e-01
-9.052758216999999830e-01,3.144738960269999950e+01,5.963708212059702918e-01,-7.393402993029095649e-01
-7.930731773000000429e-01,3.144750976559999955e+01,6.754359244972819587e-01,-6.678823848942569974e-01
-6.554549335999999560e-01,3.144896888730000128e+01,7.610136132015261623e-01,-5.684347869702519596e-01
-5.101466774999999787e-01,3.145527839660000069e+01,8.364533094974762051e-01,-4.500057997693271972e-01
-3.929632305999999908e-01,3.146492576600000035e+01,8.846482558228572213e-01,-3.454987203179838984e-01
-2.792724370999999928e-01,3.146430969240000053e+01,9.180762471426288096e-01,-2.431483093241251225e-01
-1.863411068999999975e-01,3.146528816220000024e+01,9.367319595897429796e-01,-1.565161310656246474e-01
-1.303853094999999906e-01,3.146529006960000174e+01,9.440193413935449307e-01,-1.038821691363351618e-01
-1.148473396999999951e-01,3.148747253419999836e+01,9.460018168584247711e-01,-8.034239369236603756e-02
-1.170875727999999977e-01,3.171701812739999937e+01,9.394817809622730831e-01,8.935861099190214873e-03
-1.360314786000000054e-01,3.208023071289999706e+01,8.903906839907931303e-01,1.270301208969243367e-01
-1.678789555999999905e-01,3.242451477049999653e+01,8.090415654152377511e-01,2.061462144342494085e-01
-1.605173349000000027e-01,3.269184112549999810e+01,7.188579016055647308e-01,2.713283299841380836e-01
-1.479447185999999970e-01,3.293486022950000347e+01,6.233840773343769515e-01,3.109688446681467267e-01
-1.172958761000000016e-01,3.317233276369999828e+01,5.189164362036643441e-01,3.347020993047108428e-01
-6.100927669999999664e-02,3.340060424800000050e+01,4.107389832301612254e-01,3.418193100324255496e-01
-1.154457310000000028e-02,3.361800384520000051e+01,3.176351053259473534e-01,3.192632593505781435e-01
4.655703900000000145e-02,3.382429504390000119e+01,2.400587340104436418e-01,2.791823902386721956e-01
1.076723336999999975e-01,3.400022125240000292e+01,1.865709572400982008e-01,2.329567757980970655e-01
1.753652394000000114e-01,3.406387710570000138e+01,1.616541628671967490e-01,2.211294484253096548e-01
2.375153899000000124e-01,3.400504684450000070e+01,1.542351803075545646e-01,2.533188920830064528e-01
2.982442974999999774e-01,3.383510589600000174e+01,1.611672006806219581e-01,3.262387810135756183e-01
3.875302672000000004e-01,3.364048385619999948e+01,1.639919928896307888e-01,4.098891375702080619e-01
4.945381283999999988e-01,3.343142700199999950e+01,1.612590239056357899e-01,4.972037498368042652e-01
5.943790674000000163e-01,3.324184036249999963e+01,1.552937864125737422e-01,5.721414447132022740e-01
6.858744024999999800e-01,3.304964447020000051e+01,1.533231190913298958e-01,6.413460677725590919e-01
7.759568095000000110e-01,3.286943054200000347e+01,1.477386618640302296e-01,7.015437663463033324e-01
8.426153064000000414e-01,3.275212860109999724e+01,1.375344744306429279e-01,7.388244416068541209e-01
8.479615449999999832e-01,3.277865600589999673e+01,1.249878865367837766e-01,7.333268826409666818e-01
8.108815551000000399e-01,3.295687866210000294e+01,9.726621232310350695e-02,6.827655402671726215e-01
6.985393167000000236e-01,3.330307769779999916e+01,8.141042321199287723e-02,5.647888323257379550e-01
6.212558150000000445e-01,3.356602478029999759e+01,7.433506243496956767e-02,4.648663784039847036e-01
5.449565648999999956e-01,3.383481216429999705e+01,7.663481923389114936e-02,3.558358918525931225e-01
5.138703584999999574e-01,3.404682159419999721e+01,7.896871836835706038e-02,2.690841757595960337e-01
4.882217944000000198e-01,3.416018676760000261e+01,8.739362158325020280e-02,2.216751820299610598e-01
4.756037295000000165e-01,3.426937866210000294e+01,9.596697929901515378e-02,1.772845333496053943e-01
4.770722984999999916e-01,3.440773773189999929e+01,1.098219871389267133e-01,1.239576438454633722e-01
4.773720204999999939e-01,3.458156204219999807e+01,1.377516296258647910e-01,6.042892799030497031e-02
4.683284461000000176e-01,3.483718109130000329e+01,1.975553374954880370e-01,-2.379933588667790256e-02
3.703415393999999750e-01,3.502935791019999812e+01,2.463769919093818928e-01,-9.937502605593737104e-02
